id	type	qualifier	systematic	gene	aliases	chromname	?	chrom#	from	to	strand				Notes
YAL063C	gene	?	YAL063C	FLO9	FLO9,flocculin FLO9	chromosome 1		1	23999	27967	C				Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
YAL062W	gene	?	YAL062W	GDH3	GDH3,FUN51,glutamate dehydrogenase (NADP(+)) GDH3	chromosome 1		1	31566	32939	W				NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
YAL061W	gene	?	YAL061W	BDH2	BDH2,putative dehydrogenase BDH2	chromosome 1		1	33447	34700	W				Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
YAL060W	gene	?	YAL060W	BDH1	BDH1,(R,R)-butanediol dehydrogenase,BDH	chromosome 1		1	35154	36302	W				NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
YAL059C-A	gene	?	YAL059C-A	YAL059C-A		chromosome 1		1	36495	36917	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
YAL059W	gene	?	YAL059W	ECM1	ECM1	chromosome 1		1	36508	37146	W				Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL058W	gene	?	YAL058W	CNE1	CNE1,FUN48,calnexin	chromosome 1		1	37463	38971	W				Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
YAL056C-A	gene	?	YAL056C-A	YAL056C-A	YAL058C-A	chromosome 1		1	38695	39045	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL056W	gene	?	YAL056W	GPB2	GPB2,KRH1	chromosome 1		1	39258	41900	W				Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
YAL055W	gene	?	YAL055W	PEX22	PEX22,YAF5,ubiquitin-protein transferase activating protein PEX22	chromosome 1		1	42176	42718	W				Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
YAL054C	gene	?	YAL054C	ACS1	ACS1,FUN44,acetate--CoA ligase 1	chromosome 1		1	42880	45021	C				Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL053W	gene	?	YAL053W	FLC2	FLC2,FAD transporter FLC2,HUF2	chromosome 1		1	45898	48249	W				Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
YAL051W	gene	?	YAL051W	OAF1	OAF1,YAF1,oleate-activated transcription factor OAF1	chromosome 1		1	48563	51706	W				Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
YAL049C	gene	?	YAL049C	AIM2	AIM2,protein AIM2	chromosome 1		1	51854	52594	C				Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
YAL048C	gene	?	YAL048C	GEM1	GEM1,ERMES complex Ca(2+)-binding regulatory GTPase GEM1,GON1	chromosome 1		1	52800	54788	C				Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
YAL047W-A	gene	?	YAL047W-A	YAL047W-A		chromosome 1		1	54583	54912	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C
YAL047C	gene	?	YAL047C	SPC72	SPC72,LDB4,gamma-tubulin complex subunit SPC72	chromosome 1		1	54988	56856	C				Component of the cytoplasmic Tub4p (gamma-tubulin) complex; binds spindle pole bodies and links them to microtubules; is regulated by Cdc5 kinase; has roles in astral microtubule formation and stabilization
YAL046C	gene	?	YAL046C	AIM1	AIM1	chromosome 1		1	57028	57384	C				Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
YAL045C	gene	?	YAL045C	YAL045C		chromosome 1		1	57487	57795	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
YAL044W-A	gene	?	YAL044W-A	YAL044W-A		chromosome 1		1	57517	57849	W				Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein
YAL044C	gene	?	YAL044C	GCV3	GCV3,glycine decarboxylase subunit H	chromosome 1		1	57949	58461	C				H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
YAL043C	gene	?	YAL043C	PTA1	PTA1,FUN39,RNA-processing protein PTA1	chromosome 1		1	58694	61051	C				Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
YAL042C-A	gene	?	YAL042C-A	YAL042C-A	YAL043C-A	chromosome 1		1	61230	61607	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
YAL042W	gene	?	YAL042W	ERV46	ERV46,FUN9	chromosome 1		1	61315	62562	W				Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
YAL041W	gene	?	YAL041W	CDC24	CDC24,CLS4,Rho family guanine nucleotide exchange factor CDC24	chromosome 1		1	62839	65403	W				Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress
YAL040C	gene	?	YAL040C	CLN3	CLN3,DAF1,FUN10,WHI1,cyclin CLN3	chromosome 1		1	65777	67519	C				G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.
YAL039C	gene	?	YAL039C	CYC3	CYC3,CCHL,holocytochrome c synthase CYC3	chromosome 1		1	68715	69524	C				Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)
YAL038W	gene	?	YAL038W	CDC19	CDC19,PYK1,pyruvate kinase CDC19	chromosome 1		1	71785	73287	W				Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
YAL037C-B	gene	?	YAL037C-B	YAL037C-B		chromosome 1		1	72325	73299	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL037C-A	gene	?	YAL037C-A	YAL037C-A		chromosome 1		1	73425	73517	C				Putative protein of unknown function
YAL037W	gene	?	YAL037W	YAL037W		chromosome 1		1	74019	74822	W				Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
YAL036C	gene	?	YAL036C	RBG1	RBG1,FUN11,GTP-binding protein RBG1	chromosome 1		1	75042	76151	C				Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
YAL035W	gene	?	YAL035W	FUN12	FUN12,eIF5B,translation initiation factor eIF5B,yIF2	chromosome 1		1	76426	79434	W				Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL034C-B	gene	?	YAL034C-B	YAL034C-B	YAL035C-A	chromosome 1		1	79488	79841	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL034W-A	gene	?	YAL034W-A	MTW1	MTW1,DSN3,MIND complex subunit MTW1,NSL2	chromosome 1		1	79717	80586	W				Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
YAL034C	gene	?	YAL034C	FUN19	FUN19	chromosome 1		1	80709	81950	C				Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
YAL033W	gene	?	YAL033W	POP5	POP5,FUN53,RNA-binding protein POP5	chromosome 1		1	82705	83226	W				Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL032C	gene	?	YAL032C	PRP45	PRP45,FUN20,mRNA splicing protein PRP45	chromosome 1		1	83334	84473	C				Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL031W-A	gene	?	YAL031W-A	YAL031W-A		chromosome 1		1	84668	84976	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C
YAL031C	gene	?	YAL031C	GIP4	GIP4,FUN21,protein phosphatase regulator GIP4	chromosome 1		1	84748	87030	C				Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL030W	gene	?	YAL030W	SNC1	SNC1,SNAP receptor SNC1	chromosome 1		1	87285	87751	W				Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
YAL029C	gene	?	YAL029C	MYO4	MYO4,FUN22,SHE1,myosin 4	chromosome 1		1	87854	92269	C				Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL028W	gene	?	YAL028W	FRT2	FRT2,HPH2	chromosome 1		1	92899	94485	W				Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
YAL027W	gene	?	YAL027W	SAW1	SAW1,DNA-binding protein SAW1	chromosome 1		1	94686	95471	W				5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL026C-A	gene	?	YAL026C-A	YAL026C-A		chromosome 1		1	95385	95822	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
YAL026C	gene	?	YAL026C	DRS2	DRS2,FUN38,SWA3,aminophospholipid-translocating P4-type ATPase DRS2	chromosome 1		1	95629	99696	C				Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
YAL025C	gene	?	YAL025C	MAK16	MAK16,ribosome biosynthesis protein MAK16	chromosome 1		1	100224	101144	C				Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL024C	gene	?	YAL024C	LTE1	LTE1,MSI2,mitotic regulator LTE1	chromosome 1		1	101564	105871	C				Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL023C	gene	?	YAL023C	PMT2	PMT2,FUN25,dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	chromosome 1		1	106271	108550	C				Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
YAL022C	gene	?	YAL022C	FUN26	FUN26,nucleoside transmembrane transporter FUN26	chromosome 1		1	108876	110429	C				High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
YAL021C	gene	?	YAL021C	CCR4	CCR4,CCR4-NOT core exoribonuclease subunit CCR4,FUN27,NUT21	chromosome 1		1	110845	113358	C				Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL020C	gene	?	YAL020C	ATS1	ATS1,FUN28,KTI13	chromosome 1		1	113613	114614	C				Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle
YAL019W-A	gene	?	YAL019W-A	YAL019W-A		chromosome 1		1	114249	114818	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C
YAL019W	gene	?	YAL019W	FUN30	FUN30,DNA-dependent ATPase FUN30	chromosome 1		1	114918	118313	W				Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL018C	gene	?	YAL018C	LDS1	LDS1	chromosome 1		1	118563	119540	C				Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
YAL017W	gene	?	YAL017W	PSK1	PSK1,FUN31,serine/threonine protein kinase PSK1	chromosome 1		1	120224	124294	W				PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL016C-B	gene	?	YAL016C-B	YAL016C-B		chromosome 1		1	124306	124491	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL016C-A	gene	?	YAL016C-A	YAL016C-A		chromosome 1		1	124754	125068	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W
YAL016W	gene	?	YAL016W	TPD3	TPD3,FUN32,protein phosphatase 2A structural subunit TPD3	chromosome 1		1	124878	126785	W				Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL015C	gene	?	YAL015C	NTG1	NTG1,FUN33,SCR1,bifunctional N-glycosylase/AP lyase NTG1,ogg2	chromosome 1		1	126902	128101	C				DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL014C	gene	?	YAL014C	SYN8	SYN8,SLT2,UIP2,syntaxin	chromosome 1		1	128251	129018	C				Endosomal SNARE related to mammalian syntaxin 8
YAL013W	gene	?	YAL013W	DEP1	DEP1,FUN54,Rpd3L histone deacetylase complex subunit DEP1	chromosome 1		1	129269	130486	W				Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL012W	gene	?	YAL012W	CYS3	CYS3,CYI1,FUN35,STR1,cystathionine gamma-lyase CYS3	chromosome 1		1	130798	131982	W				Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL011W	gene	?	YAL011W	SWC3	SWC3,SWC1	chromosome 1		1	132198	134075	W				Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL010C	gene	?	YAL010C	MDM10	MDM10,FUN37	chromosome 1		1	134183	135664	C				Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
YAL009W	gene	?	YAL009W	SPO7	SPO7,Nem1-Spo7 phosphatase regulatory subunit SPO7	chromosome 1		1	135853	136632	W				Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL008W	gene	?	YAL008W	FUN14	FUN14	chromosome 1		1	136913	137509	W				Mitochondrial protein of unknown function
YAL007C	gene	?	YAL007C	ERP2	ERP2	chromosome 1		1	137697	138344	C				Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
tP(UGG)A	tRNA_gene	?	tP(UGG)A	TRN1	TRN1	chromosome 1		1	139151	139253	W				Proline tRNA (tRNA-Pro), predicted by tRNAscan-SE analysis; target of K. lactis zymocin; can mutate to suppress +1 frameshift mutations in proline codons
YAL005C	gene	?	YAL005C	SSA1	SSA1,Hsp70 family ATPase SSA1,YG100	chromosome 1		1	139502	141430	C				ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL004W	gene	?	YAL004W	YAL004W		chromosome 1		1	140759	141406	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C
YAL003W	gene	?	YAL003W	EFB1	EFB1,EF-1beta,TEF5,eEF1Balpha,translation elongation factor 1 subunit beta	chromosome 1		1	142173	143159	W				Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site
snR18	snoRNA_gene	?	snR18	SNR18	SNR18	chromosome 1		1	142366	142467	W				C/D box small nucleolar RNA (snoRNA); commonly referred to as U18; guides 2'-O-methylation of large subunit (LSU) rRNA at positions A649 and C650
YAL002W	gene	?	YAL002W	VPS8	VPS8,CORVET complex membrane-binding subunit VPS8,FUN15,VPL8,VPT8	chromosome 1		1	143706	147530	W				Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL001C	gene	?	YAL001C	TFC3	TFC3,FUN24,TSV115,tau 138,transcription factor TFIIIC subunit TFC3	chromosome 1		1	147593	151165	C				Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
CEN1	centromere	?	CEN1	CEN1	CEN1	chromosome 1		1	151464	151581	W				Chromosome I centromere
YAR002W	gene	?	YAR002W	NUP60	NUP60,FG-nucleoporin NUP60	chromosome 1		1	152256	153875	W				FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
YAR002C-A	gene	?	YAR002C-A	ERP1	ERP1	chromosome 1		1	154064	154723	C				Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication
YAR003W	gene	?	YAR003W	SWD1	SWD1,COMPASS subunit protein SWD1,CPS50,FUN16,SAF49	chromosome 1		1	155004	156284	W				Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YAR007C	gene	?	YAR007C	RFA1	RFA1,BUF2,FUN3,RPA1,RPA70,replication factor A subunit protein RFA1	chromosome 1		1	156753	158618	C				Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia
YAR008W	gene	?	YAR008W	SEN34	SEN34,FUN4,tRNA splicing endonuclease subunit SEN34	chromosome 1		1	158965	159792	W				Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
tA(UGC)A	tRNA_gene	?	tA(UGC)A	TGA1	TGA1	chromosome 1		1	166266	166338	W				Alanine tRNA (tRNA-Ala), predicted by tRNAscan-SE analysis; one of 5 nuclear tRNA genes containing the tDNA-anticodon TGC (mature tRNA may be UGC or may contain modified bases), decodes GCA and probably GCG codons into alanine, one of 16 nuclear tRNAs for alanine
YAR014C	gene	?	YAR014C	BUD14	BUD14,protein phosphatase regulator BUD14	chromosome 1		1	166741	168870	C				Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress
YAR015W	gene	?	YAR015W	ADE1	ADE1,phosphoribosylaminoimidazolesuccinocarboxamide synthase	chromosome 1		1	169374	170294	W				N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
YAR018C	gene	?	YAR018C	KIN3	KIN3,FUN52,NPK1,serine/threonine protein kinase KIN3	chromosome 1		1	170395	171702	C				Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol
YAR019C	gene	?	YAR019C	CDC15	CDC15,LYT1,serine/threonine protein kinase CDC15	chromosome 1		1	172210	175134	C				Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress
YAR019W-A	gene	?	YAR019W-A	YAR019W-A		chromosome 1		1	174997	175329	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF CDC15/YAR019C
YAR020C	gene	?	YAR020C	PAU7	PAU7,seripauperin PAU7	chromosome 1		1	176855	177022	C				Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme
YAR023C	gene	?	YAR023C	YAR023C	DUP240 family protein	chromosome 1		1	179280	179819	C				Putative integral membrane protein; member of DUP240 gene family
